39087,4.54,1448
32204,4.53,1220
69173,4.71,997
82102,4.61,855
28148,4.70,802
63689,4.61,720
150863,4.54,714
77397,4.53,627
29679,4.69,596
4627,4.55,591
43509,4.71,540
2496,4.50,516
89207,4.61,510
9272,4.53,507
53914,4.51,472
8701,4.54,461
73825,4.70,455
90674,4.62,441
32844,4.57,428
200296,4.65,424
31128,4.75,410
71373,4.60,404
70165,4.59,400
34382,4.62,378
27144,4.63,367
66596,4.67,357
106251,4.75,357
52035,4.59,354
63786,4.64,349
82925,4.50,344
47195,4.54,325
8782,4.62,323
107997,4.62,321
22176,4.51,316
46877,4.64,315
65340,4.54,307
221743,4.67,306
56103,4.59,305
87085,4.53,302
8739,4.77,298
66703,4.61,296
4957,4.57,296
29598,4.62,296
52488,4.57,295
83524,4.69,285
26257,4.69,283
20616,4.71,282
19424,4.56,279
80536,4.52,276
37413,4.52,272
106627,4.60,270
21761,4.52,269
110506,4.57,264
105670,4.59,263
121490,4.66,261
108775,4.63,260
52253,4.53,259
66241,4.63,257
108522,4.50,256
42169,4.63,254
25730,4.56,253
129345,4.67,251
35988,4.56,249
30366,4.59,246
13285,4.67,246
44888,4.54,245
102274,4.76,244
57130,4.70,239
80413,4.70,237
42094,4.64,236
76491,4.57,235
87925,4.79,234
55768,4.63,230
104086,4.73,230
101104,4.60,229
18914,4.65,227
24672,4.56,225
78579,4.57,223
78194,4.64,222
145064,4.62,220
46780,4.56,219
486261,4.99,217
102617,4.68,217
177558,4.69,215
52892,4.71,214
116849,4.79,213
74730,4.75,212
53508,4.54,210
26306,4.69,206
21363,4.54,206
13546,4.64,206
59635,4.59,205
49200,4.59,204
111777,4.71,203
486496,4.75,202
13982,4.60,202
83203,4.54,201
44232,4.75,201
42603,4.53,201
42071,4.62,200
31562,4.60,200
108105,4.63,198
84516,4.53,194
83561,4.76,194
28165,4.53,190
80118,4.54,189
76616,4.67,189
118761,4.54,189
25723,4.81,188
137530,4.54,188
48532,4.74,187
155018,4.75,187
98724,4.52,186
64138,4.51,185
262140,4.58,185
110683,4.65,185
46262,4.73,184
57919,4.59,181
38041,4.51,181
33665,4.59,180
107072,4.59,180
46501,4.64,179
38641,4.57,179
26947,4.51,179
31342,4.52,178
68159,4.58,177
31371,4.69,177
95068,4.60,176
92016,4.79,175
16371,4.73,175
98415,4.56,174
30946,4.69,172
256914,4.52,172
109685,4.54,172
32607,4.60,171
101041,4.78,171
29935,4.51,170
136923,4.73,169
82023,4.57,168
29301,4.65,168
99156,4.56,167
125633,4.62,167
29329,4.64,165
28648,4.68,165
43908,4.79,164
251220,4.70,164
215414,4.50,164
16884,4.61,164
51140,4.52,163
138173,4.58,163
103403,4.57,163
35775,4.51,162
20048,4.52,162
128566,4.74,162
117317,4.54,162
69407,4.52,161
3603,4.80,161
137725,4.57,161
9327,4.74,160
71360,4.59,160
8579,4.60,159
30358,4.72,159
115432,4.56,159
59224,4.77,158
14911,4.51,158
95086,4.61,157
67781,4.65,156
19023,4.55,156
113299,4.81,156
33105,4.54,155
27221,4.65,155
208583,4.59,155
19678,4.52,155
187362,4.53,155
9954,4.75,154
73469,4.66,154
59336,4.73,154
4178,4.64,154
109264,4.52,154
107190,4.65,153
79595,4.73,152
98869,4.50,151
96886,4.62,151
78088,4.62,151
32731,4.56,151
32503,4.68,151
96514,4.61,150
96475,4.76,150
87864,4.61,149
88804,4.55,148
18888,4.62,148
126611,4.51,148
111734,4.64,148
30951,4.56,147
28377,4.76,147
88939,4.58,146
22539,4.52,146
69983,4.57,145
24476,4.68,145
31235,4.69,144
28091,4.66,144
24088,4.69,144
105726,4.76,144
8650,4.57,143
46739,4.80,143
125399,4.64,143
81211,4.72,142
55796,4.58,142
35889,4.61,142
158832,4.77,142
133513,4.63,141
115153,4.51,141
34011,4.70,140
9004,4.53,139
72308,4.62,139
29210,4.68,139
23108,4.67,139
14106,4.56,139
100526,4.85,139
99103,4.62,138
76470,4.69,138
17394,4.67,138
48401,4.53,137
44833,4.59,137
128952,4.64,137
73062,4.70,136
71933,4.76,136
45006,4.56,136
73488,4.84,135
31804,4.62,135
20431,4.64,135
104628,4.63,135
102073,4.68,135
97340,4.68,134
92072,4.87,134
30965,4.54,134
41541,4.73,133
28758,4.53,133
15489,4.53,133
73033,4.76,132
18693,4.77,132
12365,4.64,132
94532,4.61,131
9370,4.63,131
3595,4.56,131
30165,4.76,131
216350,4.85,131
19859,4.52,131
117565,4.71,131
84612,4.57,130
67733,4.68,130
14684,4.54,130
132052,4.55,130
10481,4.65,130
9240,4.66,129
60235,4.52,129
90975,4.80,128
78938,4.61,128
39900,4.73,128
497021,4.59,127
26526,4.69,127
37374,4.66,126
25806,4.51,126
111797,4.60,126
11028,4.52,126
81902,4.54,125
77861,4.55,125
47391,4.62,125
183399,4.61,125
74301,4.77,124
50022,4.60,124
224947,4.65,124
177017,4.74,123
90765,4.70,122
87420,4.60,122
22169,4.64,122
12316,4.54,122
104975,4.84,122
83475,4.72,121
75061,4.65,121
37548,4.60,121
26205,4.74,121
20184,4.57,121
137262,4.56,121
137253,4.65,121
59636,4.70,120
52104,4.71,120
50453,4.71,120
26766,4.67,120
74086,4.77,119
150898,4.55,119
140878,4.53,119
106618,4.60,119
42976,4.92,118
68063,4.51,117
38846,4.85,117
14569,4.56,117
98447,4.53,116
74982,4.75,116
59363,4.71,116
47326,4.72,116
169500,4.66,116
132765,4.61,116
96154,4.70,115
90502,4.57,115
58823,4.65,115
28662,4.50,115
81845,4.52,114
66947,4.62,114
41156,4.78,114
32973,4.52,114
110846,4.63,114
8969,4.53,113
75737,4.81,113
55514,4.72,113
50342,4.59,113
176016,4.57,113
154388,4.50,113
15194,4.58,113
114558,4.54,113
62480,4.52,112
48957,4.81,112
32734,4.54,112
26230,4.52,112
169790,4.57,112
89177,4.74,111
117026,4.59,111
96111,4.55,110
63138,4.55,110
32756,4.66,110
11266,4.82,110
98636,4.55,109
95311,4.53,109
73754,4.69,109
59965,4.61,109
18387,4.57,109
121897,4.61,109
84247,4.56,108
55936,4.64,108
144837,4.53,108
116882,4.54,108
106611,4.60,108
65641,4.69,107
57872,4.60,107
244592,4.57,107
23480,4.70,107
155442,4.71,107
69240,4.68,106
60382,4.50,106
41701,4.70,106
28603,4.70,106
84504,4.51,105
81968,4.62,105
29251,4.56,105
24952,4.74,105
50385,4.55,104
3745,4.59,104
31811,4.56,104
26420,4.56,104
118010,4.67,104
28026,4.62,103
19253,4.63,103
135585,4.52,103
99272,4.67,102
81419,4.57,102
59289,4.60,102
30812,4.65,102
128746,4.67,102
5247,4.76,101
5031,4.51,101
29413,4.76,101
123588,4.71,101
113817,4.65,101
93223,4.84,100
89932,4.58,100
60560,4.82,100
45609,4.73,100
41384,4.66,100
4075,4.79,100
34753,4.59,100
340621,4.59,100
26451,4.82,100
22164,4.50,100
128679,4.72,100
69372,4.55,99
65266,4.51,99
59772,4.61,99
49181,4.62,99
26820,4.80,99
26557,4.53,99
17977,4.68,99
166030,4.82,99
103152,4.75,99
99918,4.58,98
99843,4.56,98
88880,4.73,98
57591,4.61,98
40106,4.67,98
25757,4.73,98
116814,4.72,98
88453,4.54,97
59311,4.62,97
474520,4.90,97
24618,4.59,97
145573,4.80,97
78953,4.64,96
77666,4.51,96
74279,4.78,96
59829,4.78,96
350894,4.57,96
57629,4.81,95
54259,4.68,95
8424,4.52,94
38746,4.63,94
23687,4.69,94
21304,4.60,94
2708,4.77,93
26337,4.74,93
17962,4.60,93
162864,4.52,93
76294,4.51,92
155369,4.66,92
12877,4.53,92
9782,4.75,91
66294,4.80,91
65643,4.77,91
64149,4.68,91
58428,4.59,91
153075,4.58,91
60085,4.58,90
5483,4.80,90
474987,4.71,90
24576,4.87,90
16902,4.68,90
16399,4.68,90
161324,4.67,90
14187,4.52,90
90822,4.65,89
8845,4.78,89
88350,4.58,89
87689,4.72,89
81048,4.64,89
57062,4.79,89
17251,4.76,89
161334,4.66,89
97831,4.67,88
95220,4.77,88
56453,4.73,88
52064,4.68,88
4861,4.58,88
42564,4.68,88
29704,4.58,88
169916,4.67,88
132261,4.70,88
12360,4.56,88
114514,4.57,88
113983,4.81,88
8595,4.77,87
41992,4.63,87
20624,4.59,87
1985,4.72,87
100761,4.76,87
100005,4.71,87
56652,4.76,86
53133,4.62,86
